PWGTP,AGEP,GASP,GRPIP,JWAP,JWDP,JWMNP,FER,HHL,HISPEED,JWTRNS,SCH,SCHL,SEX,state
60,45,3,0,0,0,0,2,1,2,0,1,16,2,05
16,93,3,0,0,0,0,0,1,0,0,1,16,1,05
162,71,30,0,0,0,0,0,1,1,0,1,20,2,05
116,25,30,0,74,31,20,0,1,1,1,1,14,1,05
114,1,30,0,0,0,0,0,1,1,0,0,0,1,05
100,41,3,19,0,0,0,0,1,1,11,1,23,1,05
73,69,110,0,59,19,5,0,1,1,1,1,20,1,05
83,58,110,0,0,0,0,0,1,1,0,1,16,2,05
84,53,3,0,208,118,60,0,1,2,1,1,20,2,05
94,61,3,0,150,94,12,0,1,2,1,1,16,1,05
139,33,3,0,0,0,0,2,1,2,0,1,20,2,05
209,9,3,0,0,0,0,0,1,2,0,2,5,2,05
207,8,3,0,0,0,0,0,1,2,0,2,5,1,05
53,2,3,0,0,0,0,0,1,2,0,0,0,1,05
297,58,190,0,61,19,15,0,1,2,1,1,24,1,05
405,46,190,0,0,0,0,2,1,2,11,1,22,2,05
39,93,30,0,0,0,0,0,1,0,0,1,16,2,05
54,50,80,0,106,61,30,0,1,1,1,1,23,1,05
45,50,80,0,106,61,30,2,1,1,1,1,23,2,05
128,17,80,0,0,0,0,0,1,1,0,2,14,1,05
9,33,200,0,0,0,0,2,1,1,0,1,16,2,05
10,34,200,0,0,0,0,0,1,1,0,1,16,1,05
10,12,200,0,0,0,0,0,1,1,0,2,8,1,05
10,10,200,0,0,0,0,0,1,1,0,2,7,2,05
10,8,200,0,0,0,0,0,1,1,0,2,6,1,05
44,31,90,0,94,55,2,2,1,0,1,1,21,2,05
76,31,90,0,70,31,2,0,1,0,1,1,19,1,05
56,6,90,0,0,0,0,0,1,0,0,3,3,2,05
59,5,90,0,0,0,0,0,1,0,0,3,2,1,05
51,65,70,40,0,0,0,0,1,2,0,1,19,1,05
43,17,70,40,0,0,0,0,1,2,0,3,14,1,05
26,62,3,0,0,0,0,0,1,2,0,1,22,2,05
59,62,3,0,0,0,0,0,1,2,0,1,21,1,05
91,44,30,10,7,1,15,0,1,1,2,1,13,1,05
81,20,3,0,0,0,0,1,1,2,0,2,20,2,05
49,23,3,0,84,43,10,0,1,2,1,1,10,1,05
71,0,3,0,0,0,0,0,1,2,0,0,0,1,05
43,51,3,0,193,110,60,0,1,1,1,1,20,2,05
35,53,3,0,74,28,35,0,1,1,1,1,16,1,05
41,30,3,0,0,0,0,2,1,1,0,1,16,2,05
116,67,40,0,0,0,0,0,1,0,0,1,15,2,05
133,21,3,19,121,79,15,2,1,1,1,1,16,2,05
159,23,3,19,15,2,30,0,1,1,1,1,16,1,05
108,2,3,19,0,0,0,0,1,1,0,0,0,2,05
180,44,3,0,67,25,15,0,1,2,1,1,21,1,05
231,44,3,0,76,31,30,2,1,2,1,1,21,2,05
286,11,3,0,0,0,0,0,1,2,0,2,7,2,05
342,7,3,0,0,0,0,0,1,2,0,2,3,1,05
